AA	Sites	NonSites
ALA	0.002	0.027
ARG	0.002	0.002
ASN	0.002	0.077
ASP	0.002	0.027
CYS	0.002	0.002
GLN	0.002	0.077
GLU	0.002	0.052
GLY	0.002	0.102
HIS	0.002	0.027
ILE	0.002	0.052
LEU	0.002	0.102
LYS	0.002	0.027
MET	0.002	0.027
PHE	0.002	0.027
PRO	0.002	0.002
SER	0.002	0.027
THR	0.002	0.027
TRP	0.002	0.002
TYR	0.002	0.002
VAL	0.002	0.027
