AA	Sites	NonSites
ALA	0.076	0.077
ARG	0.039	0.027
ASN	0.057	0.052
ASP	0.887	0.152
CYS	0.002	0.027
GLN	0.094	0.052
GLU	0.020	0.027
GLY	0.039	0.077
HIS	0.057	0.052
ILE	0.500	0.052
LEU	0.131	0.152
LYS	0.094	0.102
MET	0.002	0.027
PHE	0.076	0.102
PRO	0.020	0.152
SER	0.113	0.052
THR	0.076	0.102
TRP	0.020	0.027
TYR	0.076	0.027
VAL	0.205	0.127
