AA	Sites	NonSites
ALA	0.113	0.177
ARG	0.002	0.152
ASN	0.039	0.102
ASP	0.149	0.152
CYS	0.002	0.027
GLN	0.039	0.102
GLU	0.869	0.226
GLY	0.094	0.127
HIS	0.002	0.102
ILE	0.094	0.177
LEU	0.094	0.276
LYS	0.020	0.276
MET	0.094	0.177
PHE	0.168	0.226
PRO	0.002	0.077
SER	0.094	0.201
THR	0.094	0.326
TRP	0.020	0.102
TYR	0.076	0.201
VAL	0.094	0.425
