AA	Sites	NonSites
ALA	0.223	0.251
ARG	0.186	0.102
ASN	0.703	0.027
ASP	0.924	0.077
CYS	0.002	0.002
GLN	0.094	0.027
GLU	0.131	0.276
GLY	0.758	0.152
HIS	0.020	0.002
ILE	0.223	0.152
LEU	0.094	0.177
LYS	0.352	0.102
MET	0.039	0.027
PHE	0.094	0.052
PRO	0.020	0.102
SER	0.371	0.152
THR	0.389	0.152
TRP	0.002	0.052
TYR	0.020	0.127
VAL	0.131	0.201
