SYMBOL	GSM629719	GSM629721	GSM629723	GSM629726	GSM629728	GSM629730	GSM629732	GSM629722	GSM629724	GSM629725	GSM629727	GSM629729	GSM629735
ABCB9	6.300718966	6.299945676	6.3694187125	6.354016932	6.440161985	5.73967849	5.984563259500001	5.8545924285	5.742503014	5.691214289	6.0952702814999995	5.86841456	5.8478250345
ABCC1	8.4156926655	8.1449103565	7.43363089	7.9773330465	7.520402787	7.97042974	7.332107102	7.4126031	8.0282309125	7.2862003145	7.1704525605	7.886441304	7.7449143395
ABCC10	7.9680843784999995	7.718055453	7.4067087595	7.9993723295	7.280741439	7.124876823999999	6.674509655	7.005358791	7.314941793	7.446431500999999	7.1784656155	7.2301682065	7.2516849355
ABCC3	6.7946240145	6.207044969	8.126440149499999	7.066079078	6.2373022105	7.9118695500000005	5.532279245	4.5159487005	7.964681951499999	9.072247402	5.256938164	8.165930598500001	5.338401605
ABCC4	6.944484322	6.012943845	4.7988597319999995	6.156043502999999	5.287376897	6.60723253	7.276392534	8.074026551000001	6.857158656	7.327657135	8.314124778	6.82145035	8.399157531
ABCC5	8.29395372	7.6138446779999995	7.542699087999999	7.251147021	7.43430647	7.566971495	7.471582692	8.005915799	7.546246162999999	7.770225687000001	7.756426349	7.588039615	8.165648277
ABCC6	6.459648511	7.090032858	6.486136742	6.698154921	5.740950392999999	5.36017004	6.149961703	6.334959607999999	6.474807459	4.8819700710000005	6.068903855	6.533389639	6.29574257
ABCC8	5.700268059000001	5.200587384	5.642398074000001	5.5059952905	5.196998648499999	5.1557929819999995	4.9876330200000005	5.3323723965	4.441402024	5.975625291	5.411213256	4.5853430025	5.137588396
ABCD1	6.480986162000001	7.045327072	7.397510907999999	7.117750200000001	7.500342884	6.643548378999999	6.669773172999999	6.15226697	6.078307351	6.617085728999999	6.451940621	5.930606772000001	6.416262537000001
ABCD3	8.757262144	7.655572531000001	6.619907648	7.36464945	6.997112412999999	8.420568629	8.837495204	9.770162415	9.332270591	9.132677787999999	9.726953546	9.562246533	9.740396169
ABCD4	6.5231747575	6.486220668500001	6.577232199999999	6.410651733	6.652261449	6.3009191455	6.3282575765	6.1189955915	6.479575915	6.248822733	6.121063994	6.496978917	6.258638532
ABCE1	7.6039908	6.1688366425000005	4.96759531	6.539995683999999	6.161019396	7.073081623	7.6229213719999995	8.234230858	7.491943922	7.427868008000001	8.283064529	7.595898109	8.2767679065
ABCF1	9.263248583	9.200711281	9.154054591	9.42993331	8.976785431	8.987395497	8.517110765	8.453989242	8.247162619	8.451839424	8.230415117	8.416017741000001	8.59230491
ABCF2	6.2851241380000005	6.627370106399999	6.730568848600001	6.942697946200001	6.600536363000001	6.301381573799999	6.1037518878000006	5.7796357362	5.6622782252	6.0705411202	5.643438592	5.678306182599999	5.815683213
ABCF3	8.151749618	8.222967965	8.369488298	8.27010454	8.225734219	7.56690998	7.292479991	7.329202595	7.569823014	7.268183157999999	7.297694923	7.683593922000001	7.492901419
ABCG1	5.941259841500001	6.0160954890000005	7.604294915500001	6.121001759	6.880585639	7.692828276	5.4958582985	7.5403350175	5.828021303	6.292383536000001	7.486041071000001	6.449120209	7.3105570145000005
ABCG2	7.911415254	8.052224362	7.264787577999999	7.681337685	7.538098165	7.281185431	8.563400026	7.401793839	5.655831566	7.128119495	7.295394897	5.644717016	7.386391944
ABCG4	4.781215882	5.169558041	5.2654045069999995	5.182941839	4.788307913	4.937590392	5.011654878	4.687708659	4.285594987	4.828332653	4.560429595	4.690358608	4.778886111
ABHD10	8.181850495	7.665544626	7.227707487000001	7.374223627999999	7.904910348	7.819399801	8.391865679	7.876199322000001	8.36537221	7.973436853	7.953230455	8.451196122	8.006045665
ABHD11	9.162684979	9.037514271000001	8.823494413999999	8.890938346	7.783331081	8.312445409	7.483767553	8.711203298	9.547987522	9.117982875	8.910563465	9.16571289	8.588020346
ABHD14A	8.326379773	9.270282428	9.731695359	9.942634586	9.678039294	8.229884699	8.440468771	7.41553291	7.902816617	7.1698270939999995	7.033055547000001	7.944398262999999	7.678484472999999
ABHD14A-ACY1	8.480168245	8.226600469	8.334791246	8.500487064	8.114829739	7.498401197000001	6.696339002	7.2772557120000005	7.210971405	7.045349325	7.116412231	7.480390783	7.378898975
ABHD17A	9.724225197	10.24120736	10.64734172	10.46113681	10.41843361	9.688550799	9.735836615	9.117205783	9.154583423	9.540841389	8.8835984	9.274184867	9.184871506
ABHD2	7.255484331333332	7.412341241	6.865427327333333	7.087489704	6.9951155876666675	7.3396354399999995	6.474926825	7.4015751519999995	7.3411984299999995	6.997184024	7.515472064666667	7.3059632830000005	7.428795624999999
ABHD3	5.367224822	4.553140167	3.5814022430000003	4.545185233	4.10398956	5.401154933	5.078954206000001	6.8824685820000004	5.88334618	5.862262974	6.786880632000001	5.8885457379999995	6.840417008999999
ABHD4	7.550339769	8.672636502000001	8.899527699999998	8.701650841000001	8.868674239	8.045423765	8.265288899	6.982296681	7.879644848	8.000626317	7.394250411	7.938063305	7.1918296989999995
ABHD5	5.84433208	4.824428884	5.4599662245000005	4.606799598	4.723415205	5.9171640055	5.1458095015000005	6.561389866500001	5.584386179500001	5.9806165005	6.577559623000001	5.456353477	6.392494404
ABHD6	6.9689706405	6.966583582	7.298702808	6.9031396935	6.833063040500001	6.9388321215	6.8195478795	6.4571789365	6.2941893019999995	6.8636501915	6.5807452705000005	6.3569147805	6.532417693999999
ABHD8	6.400221212000001	6.595158369	7.162106811	7.042345144	7.256381558999999	6.308462569	6.60047276	5.740358306	5.848311626	6.038299038	5.830568145	5.949814106	5.88520121
ABI1	7.232027908	7.040806807	6.3674798615	6.567764584500001	6.777367421999999	7.5808311085	7.9135551965	8.403864287	8.390326147	7.934644952999999	8.3301998715	8.4729119165	8.3381104805
ABI2	7.525911511333334	7.377266567666666	7.176465718999999	7.265822194666666	7.034096645999999	7.1584413006666665	7.018363677666667	7.191248525666666	6.680272924666667	7.122978290333333	7.184188096333333	6.5965302359999995	7.2434602649999995
ABI3BP	4.772718348	5.170220882	5.530433202	5.75049102	5.838672869	5.827412557000001	7.95373715	6.600946985	6.814800707000001	5.609184582999999	6.853156461	5.773233261000001	5.708038294
ABL1	10.09987846	10.231196	10.59583111	10.55193906	10.43549064	9.912593908	9.344703593	9.040097363	8.934039255	8.865622237	8.872214027	8.729354482	9.130584019
ABLIM1	8.726993848	9.3044083765	8.88339586	8.699304207	10.2162775145	9.683233363	9.5145653115	7.9808662925	10.101386718	8.856821236	8.0423403655	9.692278338	7.8816127135
ABLIM3	4.766284796	6.463344996	7.847261605	6.774717285	6.882019681	7.680193912999999	6.459485527999999	4.305947774	5.894176157	7.1484497870000006	4.722499984	5.7870638770000005	4.745763761
ABR	7.055032567	7.449844498	7.885382613000001	7.590334959	7.4500812255	7.031739046	6.863667109	6.274998004	6.839862341	6.693787619	6.437239806499999	7.023528762	6.323762362
ABT1	7.534832304	8.045115882000001	8.162838251	8.031176056	7.9568145999999995	7.535491523999999	7.243476328	7.43621835	7.407702605	7.184882569	7.059070527	7.426599672	7.130767847
ABTB2	7.525909949	7.450139841	8.016334559	7.791938499	6.735251223	7.271743301	6.817065666	7.054459938	6.4347875189999995	7.210765983	7.2220521479999995	6.156526167000001	7.030068582
AC002310.7	5.466690327	5.158651413	5.685863641	5.115598178	5.0990817989999995	4.7670712669999995	4.897023471	4.660887794	4.824067523	5.212368143	4.78569183	5.141901501	4.649635526
AC003989.4	5.025121637	5.031124427	5.759438922	5.393074257	5.678287416	5.248764041	5.573684031	4.648497444	4.832230297	5.4020923110000005	4.99611647	5.008078287	4.93255516
AC004692.5	5.955100598	6.423160394	7.3531184739999995	6.679018827	7.651510302	6.2557295470000005	6.638141515	6.24553507	5.861290918	6.461533166000001	6.19445801	5.878554812000001	6.333508205
AC004941.5	7.554895269	6.226797436	5.898204582000001	6.547737505	6.8074878729999995	6.699184311000001	6.83856136	7.530973384	6.905673467000001	6.973905214	7.38150074	6.999195651	7.762912977999999
AC007292.3	6.0571858679999995	6.484220927999999	6.899152856000001	6.558279507999999	6.752990926	6.106516224	6.091193211	5.860590682000001	6.083811382	5.7123643589999995	5.949899004	5.891349543	6.031061911
AC007389.3	4.868136016	4.801504885	5.043440668	4.761873583	5.055475992	4.71950032	5.424562788999999	4.9357142739999995	4.736356896	5.395061116	4.8470316019999995	4.950765798	4.679214501000001
AC007967.3	6.597216522999999	6.267910845	6.157297461000001	6.144964621000001	6.210952815	5.947893643	6.287945196	5.615238142000001	5.984566847999999	6.338532924	6.090773061	5.986768802	5.933828565
AC009237.8	6.550793476	6.179774722	5.265584709	5.196486085	4.7778128660000005	5.763440277000001	5.500904643999999	6.294941012000001	7.866140631	5.87028418	6.394562896	7.453059991	6.499547866
AC012065.7	10.54137101	9.1793729	8.609452207999999	9.318230843	6.324779976	8.993300041	8.325484499	11.11498612	8.73232196	9.542256386	11.1027692	8.181890952	11.18485026
AC074212.6	5.719757414	5.407284172000001	5.5413602189999995	5.695282628999999	5.563827095	5.101338108999999	5.7385737070000005	4.979719879	5.027946686	5.374627962999999	5.006383673	5.283858294	4.99463882
AC128677.4	6.315183772	7.97710696	7.514475846	8.952311502999999	8.062250683	7.052936021	6.545652572000001	5.891794327	7.9065021579999994	6.427733296	6.332644309	7.603922523	5.874943041
ACAA1	8.534273675	8.673058868999998	8.8372850435	8.925584320999999	8.781340870000001	8.245050692000001	8.1681499025	8.2125712215	8.097313738	8.320235021	8.2808655205	8.283413035999999	8.367693305
ACAA2	8.190367371999999	7.74467154	7.893203683500001	7.627494973999999	7.724564750000001	7.648518331	7.8215962855	7.639047763000001	7.101616063	7.906868178	7.5546726965	7.363948087999999	7.645083222
ACACA	7.9438299475	7.319481441500001	6.996439914	7.2509321465	6.829564289	6.840015727000001	6.8065867	8.1942992515	7.178932498	7.415712740999999	7.831480535	7.189035491499999	8.132836532
ACACB	6.579144778	8.494152726666668	8.581679657666667	7.849322353666666	8.294191895666666	8.367025935000001	8.326068470666668	6.431333779333333	6.986403669	6.312485127333335	6.912876764666667	7.012278444666666	6.302928880333333
ACAD10	6.974031897000001	6.483347561	6.558348887	6.628938026	6.453711866	6.166336858999999	6.261637787000001	6.475643938999999	6.649440792999999	6.4809022910000005	6.410757081	6.534745598	6.4357553229999995
ACAD8	8.076307611	7.863256156	7.7064342429999995	7.768730944	7.368845653999999	7.558387467999999	7.530557502000001	7.856638802999999	7.791120058	7.056913292999999	7.034965228	7.710092033	7.790139104
ACADL	6.65161466	4.891851208	4.2718442	4.290285036	4.789301357	4.279553581	4.323740900000001	6.719935067000001	6.615595167	4.760278016	6.581459817000001	6.760486788	6.944152133999999
ACADM	7.093004315	6.567007823	5.340730876	6.400400531	6.897079991	7.174594347999999	7.881775434	8.03468919	8.061818843	6.954870512	8.243796841	8.020960295	8.318765045
ACADS	7.1170868920000006	7.3061163360000005	7.931888413999999	7.533533676	7.3526870220000005	6.927511265	6.866140925	6.6444322	6.717996192999999	7.2414274579999995	6.74045663	6.7090402870000005	6.704198544
ACADVL	10.70361421	10.48719629	10.54446401	10.74169321	10.18886781	9.958940098	9.530333582999999	9.496025638999999	9.937208938	9.957348685	9.325515869	9.937039827000001	9.706139121
ACAN	5.736614503666666	5.506750182333334	5.942752755333333	5.695274133000001	6.0606726140000005	5.441433259	5.564988188666667	5.417419853000001	4.964839849	5.969425137000001	5.341230070333334	5.318438208333333	5.225846134666667
ACAP1	6.576227791000001	6.426667632999999	6.684999226	6.6602002515	6.2455580390000005	5.971576031500001	5.985138489000001	5.476279989	6.129333422	6.210006186	5.641967812000001	6.221151902	5.557056545
ACAP2	5.92313869	6.504340182999999	5.061098016	6.0413194610000005	6.993166782	6.950806067	7.803287836	8.06686776	7.355102201	6.190164041	8.19623113	7.496921065	8.05270925
ACAT1	9.359996861	8.548676733999999	8.833103304	8.492104261	9.318372771	9.236000984	9.808533054	9.220451347000001	8.646004484	9.418171957	9.125877015	8.678041449	9.324292633999999
ACAT2	7.2276816660000005	7.118365469	6.9334640279999995	6.938889852000001	6.393243332000001	6.5024478629999996	6.8623533839999995	7.8569802189999995	6.667773895	6.868442462999999	7.510916527999999	6.87999174	7.628163484
ACBD3	8.624365940499999	7.9155608475	7.7883086939999995	7.7199674609999995	7.5050479005	8.511959974	8.5360280285	8.525732516000001	8.1993546875	8.6304800775	8.752678478	8.219054276	8.6106319145
ACBD4	6.418109751	6.858454724	7.219624083999999	7.043983699	7.381667215	6.527298048	7.007092802000001	6.395487397	6.79031471	6.780480664	6.394562896	6.903113721	6.530428581000001
ACD	8.247901314	8.723097452000001	8.962015004	9.068545196	9.577269094	8.149383085	8.172935652	7.506454778999999	7.3687757970000005	7.106136462	7.427933163	7.532979352000001	7.41165679
ACHE	5.724901217499999	5.550539678	5.9893387535	5.655415572500001	5.749155863	5.346350314	5.5609712085	5.209716694500001	5.3797990344999995	5.695194018	5.4091705705	5.3902351500000005	5.272752226
ACIN1	9.126467552000001	8.584701954	8.079756061	8.334446975	8.304665195	8.049002579	7.814292749	8.164193525	8.170532134	8.487892058	7.889124637	7.966139028	8.328985379
ACKR1	6.197633078	10.11400129	10.81724561	10.37228012	10.81299856	10.7412436	9.444706258	5.272867969	6.198832386	8.434233313	5.089623314	6.075388335	4.6142393760000004
ACKR3	7.834108366000001	8.849601079	8.458723589	8.314197918	8.542405248	8.255217142000001	7.857554198	8.248151352	9.115643428	8.31975089	8.204652361	8.726852181	8.286611252
ACLY	8.885645931333334	8.646636595333332	8.576599424	8.665404458333335	8.209238260333333	8.343802949	7.938298553999999	8.661865965999999	7.888193283333334	8.44849574	8.375264667333335	8.032018683	8.635318468333333
ACN9	5.709291347000001	5.297779643999999	3.75665584	5.07493259	4.739317566	5.530186845	5.61523268	6.633805721	5.991956939	5.492039397	6.684336146000001	6.101898143	6.826968572999999
ACO1	8.572060047999999	8.668794816	8.406967153	8.586071881	8.297663607999999	8.379027125	8.481836143999999	8.166015297000001	7.644154311	7.949395823	8.219016295	7.919591583	8.163893241
ACO2	8.492914556	8.869315922	9.02023381	8.973306758	8.723323498	8.090258571	7.59874361	7.796627657999999	7.501818351	8.300645622000001	7.312356065	7.76862401	7.897730645
ACOT1	7.695882954	8.350790777	9.711629165	8.641824128	8.602931389	8.025864012000001	8.304434025	7.951482549	6.8347769629999995	7.539179379	7.6908121760000006	7.171235891	7.950818856000001
ACOT11	6.949364373	6.102571827999999	6.918019232000001	6.234545915	6.688332049	6.178529191	6.223618451	6.399792451000001	5.933383449	6.873677889	6.471131131	6.398548307	6.409837075
ACOT13	8.979872686	8.510218966	8.243049808	7.645691029	7.387969735	8.468264474	8.18764631	8.708842407	8.047129615	8.226714812	8.533912147999999	8.37982592	8.785814102
ACOT7	7.729156657499999	7.1283190125	7.397855701999999	7.3199937885	7.6527974895	6.720537747000001	6.817156477999999	7.199947645	6.2930753165	6.619093012	6.861474781	6.5827969265	7.0399022979999994
ACOT8	7.649706424	7.673439944	8.413920382	8.000577772	8.093731729	7.481571424	7.084191345	7.319061576	6.977915808	7.547956987	6.941904719	6.817568402000001	7.267131818999999
ACOT9	7.883801967999999	8.250760401	8.631304225	7.905867209	8.095366623	8.330141966000001	8.339015586	8.298968444	8.030306588	8.891012397	8.214991737	7.982223441	8.279536924
ACOX1	7.528205114	6.698870241	6.038911690000001	6.230939809	5.884286426	7.1401224845	6.9063372925	7.773711642	7.2941658	7.14832655	7.508471709	7.5448233925	7.4553448745
ACOX2	6.851593841000001	7.998408081	7.822520417000001	7.738090545	8.114567595	6.982607258	7.843077913999999	6.7554208529999995	5.749355649	5.66000582	7.072975535	5.558273897	6.793575843999999
ACOX3	7.0110749555	6.557012403	7.144875005	7.0183630955	6.905546208500001	6.9643015765000005	6.3847128315	7.5698159515	6.454416821500001	6.6504882895	7.3315386015	6.3541812564999995	7.6927585555
ACP1	9.125540116000002	7.933689670333334	7.495725571666668	7.510555467333333	7.534027117	8.36504411	8.123363570666667	8.957754794666668	8.270236085	8.096677981666666	8.49550807	8.251914086666666	8.858951485666665
ACP2	7.329095675	7.645399135	8.741355386	7.986199184	7.340593597000001	8.169151643	7.406350357000001	7.238940287	7.718691231	7.869996984	7.086286703	8.107143719	7.461953694
ACP5	5.736403345	6.188145267	7.431875483	6.5185271579999995	6.869057314	7.474612318999999	6.123652184	6.674274809	6.888943544	6.415571456	6.65262591	8.459566095	6.4867514139999995
ACP6	8.521774762	8.606514903999999	8.121134836	8.496357782999999	7.723048007	8.074070918	7.445733418	8.544019095	8.587291194	7.1303768739999995	8.420412854	8.698156962999999	8.477175248
ACPP	5.267892316	4.156392427	6.121654585	4.701989819	4.095756372	6.778992494	4.478322957	8.921990622000001	5.090445459	8.004894122	9.177136491	5.42223778	8.504727628
ACSF2	6.96834792	8.142873877000001	7.753503928	7.934007084	8.455000512	7.149421622	7.508431142	6.719368048	7.598601775	6.639096855	6.508441704	7.7934228039999995	6.881351805
ACSL1	6.595429156	7.345567218499999	6.450854562	6.760580512500001	6.0694207575	7.367133012	7.561686004	7.4393368419999995	7.185244239499999	7.7272019755	7.255299741	7.752297485	7.3649774375
ACSL3	7.749339099	6.343620803333333	5.450943901666666	6.910668970666666	6.884951024333334	7.534626497666667	8.156084454	10.571410636666668	8.222272525333333	7.728393740333334	10.685961973333333	8.337370190666666	10.237905644666668
ACSL5	8.664733996	7.500198902	8.886905337	8.099570702000001	6.582898483999999	9.934473242000001	6.604886219	10.7573129	8.952476147	10.85392727	10.71224708	9.219114853999999	10.41674486
ACSM3	6.586890995	4.224220739	4.9290541835	4.799872249	6.1926779505	5.7332916415	4.9092813369999995	9.11223414	6.2927754605	7.9210422965	8.9201101355	6.3363539775	8.7234874175
ACSM5	5.063222249	5.085897608	5.393933512	4.89689155	5.350615841000001	4.957796015	5.083265558	4.604502737	4.681079896	5.013393327	4.593828471	4.489580935	4.358186514
ACSS3	6.42443065	7.0869111479999995	6.577371041	5.779826909	6.987227112	6.6483353329999995	7.725690661000001	7.27607302	5.748337814	6.063078748	7.236980503	5.658267932999999	7.222497692999999
ACTA2	10.55011351	13.04703774	13.44621321	13.09994168	12.91709129	12.92997183	13.51406328	9.056078133	8.162997196000001	11.86399867	9.475439571	7.77727068	8.934630932000001
ACTB	12.780135255846155	12.953521385692305	13.238829774615384	13.117425562307691	13.136308569230769	12.94155096953846	13.037746856923077	12.846289152999999	12.430233945692306	12.842735263	12.67614055130769	12.562534975384615	12.754182766461536
ACTBP9	5.8510733660000005	6.423731893999999	8.33822357	6.632236271	7.471776482999999	6.407753317	7.141627464	6.292126892000001	5.728499247	6.457435873	5.768909501	5.869677808	6.165889902000001
ACTC1	5.005096838	6.406207748	10.72958093	7.018179683	6.552870596	6.222965662000001	6.5031367939999996	4.6402993839999995	4.735859852	5.306497132	4.689988531	4.589709857	4.841991286
ACTG2	5.913341126000001	10.58142207	13.10462763	10.94995907	11.76479285	11.49837942	11.59647288	6.648656654	3.907401142	9.882195493	6.559247046	4.566218001	6.213246656
ACTL6A	5.9769332429999995	6.969403514	5.8968921	6.689564288	6.516628092	7.358309214	7.6211030310000005	8.175161252999999	7.4097297929999995	6.595570098	8.276137955	7.41473464	8.169282762
ACTL6B	5.732425348	5.738919198	6.0623322260000005	5.9931173310000005	6.194803727999999	5.64638707	5.714406299	5.057524397	5.421775918	6.030131474	5.212961039	5.690066001	5.200707134
ACTL8	6.497156245	5.982149327	6.062745046	5.795481774	6.375006705	5.82814063	6.05475933	5.505950965	5.964196771	6.092462522000001	5.88429888	6.088965995	5.763546229
ACTN1	10.324724987666668	10.84279704	10.742091473333334	10.919968093333333	10.346084199666665	10.940302986666667	11.00656204	9.458624411666667	9.080168690333332	10.131090282666667	9.517327493333333	9.372700043666667	9.505472541333333
ACTN2	4.702214728	5.4957130670000005	5.548070189	5.645008585	5.933188373999999	5.327183938	5.875842266	4.888439853	4.555792321	5.174095695	4.931053079	4.896262072	4.641493391
ACTN3	5.067205533	4.849174024	5.171804478	5.257589642	5.182892408	4.849535112	4.6720642660000005	4.6152233439999995	4.428942054	4.711401334	4.361160166	4.589598313	4.5882046999999995
ACTN4	10.40137684	10.77233718	10.48284048	10.52279979	10.91335179	10.43168177	10.62155143	9.532558219	9.870954152000001	10.28715761	9.778343884	10.10926201	9.580396745
ACTR10	10.36519795	9.841692345	9.445130579	9.13242781	9.821169864	10.04550659	10.31452236	10.27845893	10.12014335	9.367038687	10.12472113	10.22492683	10.24029185
ACTR1A	8.3419469165	8.4991195825	9.0562184705	8.9934951775	8.568235699999999	8.216521347	7.5986477465	7.943235786500001	6.9345045335	7.8631078245	7.6145820905	7.2382091875	7.859695456499999
ACTR1B	8.615018151000001	8.889618042	9.131234609	9.227784827	9.240754372	8.287267131	7.950036947	8.232939464	8.248077045	8.167760708	8.14872564	8.497682973	8.285453303999999
ACTR2	9.138593009333333	7.802788814666667	6.995662743666666	8.029267575333334	7.279094145333334	8.291091186000001	8.134769214	9.449273894000001	8.993836589333332	9.359769733333334	9.604234707333333	9.089763376	9.487740097
ACTR3	9.383419119333334	9.467133606333334	8.684463692666666	9.182412525666665	8.842178623666667	10.318069871333334	10.180792008333334	10.705275126666669	10.277861762666666	10.750123276666665	10.74721111	10.537576233666668	10.736591533333332
ACTR3B	7.157546251	6.836568783	6.083360471000001	6.570783444	6.435104057999999	6.19446547	6.261117669	7.061292172999999	6.6869046889999995	5.339656584	6.808037975	6.801471571	7.088455235
ACTR5	6.261504436499999	6.512617892000001	6.398110560999999	6.5714499065	6.695798808999999	6.4042559445	5.9668166285	5.833328651	6.035619177	5.7876795025	5.754439340999999	5.990504746499999	5.989942063
ACTR6	6.547184128	6.502329246	5.301577791000001	5.702369253	6.184431821	6.699937413	7.842509718	7.696826076	7.736915042000001	6.915152905	7.670594586	7.6311451439999995	7.699668858
ACTR8	6.3169015129999995	5.851974665	5.1873097669999995	5.373252458	5.303425025	5.660973127	5.5762656239999995	6.195858632	6.177358332000001	5.7414537679999995	6.110308709	6.190733327999999	6.261611328
ACVR1	9.106755509	8.982351883	8.418804532000001	8.939466697	8.779038493	9.406871951	9.88982304	9.318544507	8.856893899	8.740385693	9.420279541000001	8.944064104	9.394102827000001
ACVR1B	7.2713503799999994	7.725006756000001	7.4702859665000005	7.4754770630000005	7.2111911275	7.5312333285	6.4623364395000005	7.2235848715	7.8049734675	8.32534377	7.319125706	7.811559551	7.162777599
ACVR2A	6.89237442	6.269882161	6.510586921	6.0302772639999995	6.34694012	6.477029237999999	7.244741556	6.46883647	6.513953456	6.50861262	6.651624836	6.763566852	6.3363785870000005
